city,country,pm25_ugm3,no2_ugm3
Tokyo,Japan,53.05,25.04
Tokyo,Japan,57.87,42.01
Beijing,China,125.83,41.67
Beijing,China,90.05,67.34
Beijing,China,84.95,33.98
Beijing,China,89.3,52.69
Beijing,China,94.54,63.24
Beijing,China,72.24,37.57
Beijing,China,101.86,42.98
Beijing,China,73.89,60.83
Beijing,China,61.6,53.26
Beijing,China,59.66,49.8
Beijing,China,86.25,50.18
Beijing,China,99.07,50.43
Beijing,China,85.37,42.12
Beijing,China,101.75,65.55
Beijing,China,74.83,58.37
Beijing,China,82.92,75.61
Beijing,China,92.1,57.46
Beijing,China,81.59,73.14
Beijing,China,86.95,47.94
Beijing,China,93.1,42.16
Beijing,China,114.62,60.03
Beijing,China,84.87,62.64
Beijing,China,100.28,79.34
Beijing,China,130.84,60.09
Beijing,China,123.04,45.17
Beijing,China,78.88,73.93
Beijing,China,51.98,35.57
Beijing,China,78.12,57.5
Beijing,China,58.18,41.11
Beijing,China,150.75,87.71
Beijing,China,54.16,47.76
Beijing,China,63.68,93.65
Beijing,China,94.04,46.23
Beijing,China,88.34,42.11
Beijing,China,61.14,31.36
Beijing,China,88.56,52.99
Beijing,China,91.87,41.92
Beijing,China,53.7,53.42
Beijing,China,92.32,36.2
Beijing,China,126.57,64.18
Beijing,China,93.81,81.82
Beijing,China,79.27,83.26
Beijing,China,86.4,81.66
Beijing,China,64.09,72.06
Beijing,China,95.89,53.71
Beijing,China,56.63,55.55
Beijing,China,137.01,72.94
Beijing,China,104.78,83.35
Beijing,China,139.2,36.04
Beijing,China,80.85,84.27
Beijing,China,62.9,51.35
Beijing,China,64.69,29.95
Beijing,China,82.35,34.98
Beijing,China,79.64,37.04
Beijing,China,155.97,55.06
Beijing,China,147.55,84.43
Beijing,China,109.92,43.93
Beijing,China,51.79,44.89
Beijing,China,56.16,37.52
Beijing,China,56.6,71.71
Beijing,China,92.48,45.22
Beijing,China,54.77,37.32
Beijing,China,126.21,59.95
Beijing,China,127.9,43.13
Beijing,China,89.89,76.52
Beijing,China,109.16,87.5
Beijing,China,89.43,91.56
Beijing,China,59.27,69.44
Beijing,China,72.72,59.9
Beijing,China,97.04,46.41
Beijing,China,82.28,30.1
Beijing,China,106.3,72.43
Beijing,China,79.63,84.31
Beijing,China,134.93,49.09
Beijing,China,70.5,79.56
Beijing,China,81.31,84.5
Beijing,China,69.51,38.6
Beijing,China,83.56,73.68
Beijing,China,67.48,38.45
Beijing,China,60.56,89.75
Beijing,China,76.06,68.5
Beijing,China,120.76,80.04
Beijing,China,85.5,86.68
Beijing,China,84.84,26.46
Beijing,China,80.26,63.07
Beijing,China,98.3,46.74
Beijing,China,89.12,62.0
Beijing,China,127.15,40.12
Beijing,China,74.19,33.81
Beijing,China,60.4,94.45
Beijing,China,111.1,69.58
Beijing,China,104.24,54.98
Beijing,China,145.37,83.9
Beijing,China,141.98,52.84
Beijing,China,160.4,40.32
Beijing,China,50.01,94.53
Beijing,China,64.73,53.18
Beijing,China,54.79,76.76
Beijing,China,79.57,74.33
Beijing,China,65.37,62.79
Beijing,China,60.25,49.9
Beijing,China,124.09,77.26
Beijing,China,134.41,72.59
Beijing,China,70.44,103.0
Beijing,China,109.97,67.91
Beijing,China,79.36,82.01
Beijing,China,63.01,35.72
Beijing,China,106.87,33.07
Beijing,China,89.95,32.95
Beijing,China,99.82,39.18
Beijing,China,163.52,45.06
Beijing,China,98.09,81.98
Beijing,China,79.08,67.7
Beijing,China,100.63,85.59
Beijing,China,110.54,78.4
Beijing,China,74.86,73.83
Beijing,China,64.23,38.83
Beijing,China,70.75,47.27
Beijing,China,165.04,34.86
Beijing,China,86.49,75.66
Beijing,China,123.79,86.08
Beijing,China,65.11,79.23
Beijing,China,61.01,47.17
Beijing,China,62.15,48.8
Beijing,China,80.19,55.64
Beijing,China,136.77,50.06
Beijing,China,134.5,78.93
Beijing,China,118.4,88.53
Beijing,China,60.08,95.05
Beijing,China,54.78,83.29
Beijing,China,72.54,78.04
Beijing,China,83.5,45.59
Beijing,China,51.46,65.03
Beijing,China,86.22,46.99
Beijing,China,148.14,44.36
Beijing,China,89.95,36.36
Beijing,China,146.24,42.27
Beijing,China,54.87,88.04
Beijing,China,99.53,70.5
Beijing,China,107.62,91.11
Beijing,China,80.46,64.01
Beijing,China,91.98,34.31
Beijing,China,89.38,43.42
Beijing,China,50.43,32.7
Beijing,China,100.62,72.01
Beijing,China,93.73,55.43
Beijing,China,102.62,33.42
Beijing,China,61.51,96.27
Beijing,China,148.63,101.39
Beijing,China,80.62,49.95
Beijing,China,102.1,87.64
Beijing,China,78.9,38.3
Beijing,China,74.21,50.66
Beijing,China,96.67,62.24
Beijing,China,58.41,70.22
Beijing,China,96.62,78.32
Beijing,China,63.97,93.37
Beijing,China,152.35,58.15
Beijing,China,82.08,50.76
Beijing,China,66.57,84.27
Beijing,China,89.12,67.76
Beijing,China,67.84,51.76
Beijing,China,121.79,69.59
Beijing,China,100.08,71.37
Beijing,China,123.35,41.16
Beijing,China,96.75,80.45
Beijing,China,53.59,52.8
Beijing,China,50.9,63.86
Beijing,China,61.94,82.79
Beijing,China,68.58,53.47
Beijing,China,101.6,44.23
Beijing,China,58.1,33.97
Beijing,China,74.47,85.26
Beijing,China,168.68,58.41
Beijing,China,76.81,50.15
Beijing,China,144.14,103.97
Beijing,China,55.29,43.79
Beijing,China,50.2,77.8
Beijing,China,87.51,65.15
Beijing,China,92.88,55.02
Beijing,China,122.98,76.62
Beijing,China,148.46,71.21
Beijing,China,105.85,91.38
Beijing,China,144.42,81.4
Beijing,China,58.12,47.9
Beijing,China,96.79,84.8
Beijing,China,79.5,33.72
Beijing,China,58.81,50.77
Beijing,China,125.08,55.3
Beijing,China,94.19,69.09
Beijing,China,113.76,52.64
Beijing,China,105.96,87.09
Beijing,China,127.38,50.88
Beijing,China,70.42,76.11
Beijing,China,96.32,67.34
Beijing,China,98.56,66.13
Beijing,China,101.38,46.79
Beijing,China,71.6,45.09
Beijing,China,53.12,77.71
Beijing,China,88.96,89.24
Beijing,China,104.94,99.16
Beijing,China,51.33,69.93
Beijing,China,65.57,61.89
Beijing,China,94.1,74.58
Beijing,China,93.23,73.89
Beijing,China,68.15,44.06
Beijing,China,110.44,36.58
Beijing,China,130.08,52.67
Beijing,China,116.7,85.61
Beijing,China,78.45,56.65
Beijing,China,51.5,65.78
Beijing,China,64.04,64.4
Beijing,China,122.9,55.04
Beijing,China,120.61,34.25
Beijing,China,85.12,41.66
Beijing,China,98.15,92.61
Beijing,China,135.81,97.87
Beijing,China,55.77,71.15
Beijing,China,68.15,60.98
Beijing,China,62.5,66.87
Beijing,China,86.02,41.47
Beijing,China,75.26,33.91
Beijing,China,69.75,42.58
Beijing,China,101.8,56.7
Beijing,China,73.79,39.23
Beijing,China,148.58,50.91
Beijing,China,98.46,71.8
Beijing,China,75.05,90.45
Beijing,China,78.56,54.62
Beijing,China,86.51,55.03
Beijing,China,68.46,32.0
Mumbai,India,90.42,22.25
Mumbai,India,95.65,54.06
Mumbai,India,186.44,33.13
Mumbai,India,58.91,63.83
Mumbai,India,162.77,58.67
Mumbai,India,150.68,80.54
Mumbai,India,80.6,81.64
Mumbai,India,54.53,31.91
Mumbai,India,91.28,63.38
Mumbai,India,75.3,43.32
Mumbai,India,59.18,51.97
Mumbai,India,97.96,39.29
Mumbai,India,64.04,34.88
Mumbai,India,105.51,58.57
Mumbai,India,97.69,65.05
Mumbai,India,122.77,44.01
Mumbai,India,139.25,35.69
Mumbai,India,143.43,40.34
Mumbai,India,104.4,39.11
Mumbai,India,69.79,62.17
Mumbai,India,71.28,59.63
Mumbai,India,74.31,54.42
Mumbai,India,101.01,43.59
Mumbai,India,83.22,27.89
Mumbai,India,77.82,46.71
Mumbai,India,151.1,50.05
Mumbai,India,75.69,69.42
Mumbai,India,163.75,43.93
Mumbai,India,64.07,57.86
Mumbai,India,113.6,65.15
Mumbai,India,92.5,75.7
Mumbai,India,107.34,36.02
Mumbai,India,94.91,43.83
Mumbai,India,87.07,24.82
Mumbai,India,145.13,34.58
Mumbai,India,65.66,55.34
Mumbai,India,72.21,38.72
Mumbai,India,103.03,37.68
Mumbai,India,188.69,30.05
Mumbai,India,116.43,79.58
Mumbai,India,97.79,54.38
Mumbai,India,72.96,38.93
Mumbai,India,140.79,52.58
Mumbai,India,109.46,60.41
Mumbai,India,185.2,30.75
Mumbai,India,147.21,54.5
Mumbai,India,53.27,76.49
Mumbai,India,87.82,78.4
Mumbai,India,128.14,52.08
Mumbai,India,72.41,50.32
Mumbai,India,63.58,49.57
Mumbai,India,89.67,46.22
Mumbai,India,101.08,53.81
Mumbai,India,94.26,60.28
Mumbai,India,111.06,69.48
Mumbai,India,55.51,70.36
Mumbai,India,113.0,56.73
Mumbai,India,138.55,44.52
Mumbai,India,90.58,75.02
Mumbai,India,123.78,71.36
Mumbai,India,64.04,60.14
Mumbai,India,68.13,26.16
Mumbai,India,64.98,34.34
Mumbai,India,96.05,27.71
Mumbai,India,68.72,27.77
Mumbai,India,137.61,61.94
Mumbai,India,181.31,31.5
Mumbai,India,129.58,42.1
Mumbai,India,142.22,81.02
Mumbai,India,105.06,57.38
Mumbai,India,103.42,53.02
Mumbai,India,65.56,28.49
Mumbai,India,54.74,25.2
Mumbai,India,69.5,46.69
Mumbai,India,108.91,36.47
Mumbai,India,129.01,36.82
Mumbai,India,98.35,39.67
Mumbai,India,69.87,40.49
Mumbai,India,99.82,39.15
Mumbai,India,160.75,71.31
Mumbai,India,172.1,62.46
Mumbai,India,131.92,68.3
Mumbai,India,69.25,56.11
Mumbai,India,92.9,34.24
Mumbai,India,95.9,38.34
Mumbai,India,157.4,52.7
Mumbai,India,186.03,61.92
Mumbai,India,163.91,40.19
Mumbai,India,102.7,53.05
Mumbai,India,85.92,33.55
Mumbai,India,120.6,61.83
Mumbai,India,118.24,51.18
Mumbai,India,108.12,24.02
Mumbai,India,82.08,49.88
Mumbai,India,137.06,47.29
Mumbai,India,158.5,48.93
Mumbai,India,108.98,70.46
Mumbai,India,142.07,58.05
Mumbai,India,56.18,74.43
Mumbai,India,65.49,45.6
Mumbai,India,112.66,33.48
Mumbai,India,91.64,28.41
Mumbai,India,86.66,28.33
Mumbai,India,51.69,45.26
Mumbai,India,91.27,56.29
Mumbai,India,159.1,47.31
Mumbai,India,136.12,78.72
Mumbai,India,105.91,50.29
Mumbai,India,105.85,71.58
Mumbai,India,59.2,60.47
Mumbai,India,51.71,39.51
Mumbai,India,112.02,39.37
Mumbai,India,108.36,31.42
Mumbai,India,153.47,36.62
Mumbai,India,208.23,46.44
Mumbai,India,125.63,74.12
Mumbai,India,156.33,82.65
Mumbai,India,129.82,47.53
Mumbai,India,135.65,70.7
Mumbai,India,75.97,65.05
Mumbai,India,53.12,46.29
Mumbai,India,55.07,24.9
Mumbai,India,164.21,42.22
Mumbai,India,168.97,47.88
Mumbai,India,79.8,62.02
Mumbai,India,188.24,35.06
Mumbai,India,64.9,84.04
Mumbai,India,140.49,62.41
Mumbai,India,121.02,87.92
Mumbai,India,132.48,63.88
Mumbai,India,64.91,51.23
Mumbai,India,64.15,48.92
Mumbai,India,96.06,27.88
Mumbai,India,83.87,43.26
Mumbai,India,158.0,28.65
Mumbai,India,124.36,64.67
Mumbai,India,161.22,43.35
Mumbai,India,51.47,41.29
Mumbai,India,79.58,39.15
Mumbai,India,135.09,81.5
Mumbai,India,86.5,29.04
Mumbai,India,73.66,26.82
Mumbai,India,83.7,37.4
Mumbai,India,69.74,26.93
Mumbai,India,64.18,51.46
Mumbai,India,84.82,59.37
Mumbai,India,116.28,62.76
Mumbai,India,97.22,64.97
Mumbai,India,62.31,65.05
Mumbai,India,128.11,34.18
Mumbai,India,83.39,34.91
Mumbai,India,93.19,65.23
Mumbai,India,129.36,24.35
Mumbai,India,110.69,24.24
Mumbai,India,133.19,33.33
Mumbai,India,150.83,50.77
Mumbai,India,106.55,44.85
Mumbai,India,194.06,34.01
Mumbai,India,60.44,34.7
Mumbai,India,72.7,79.99
Mumbai,India,138.52,69.12
Mumbai,India,94.11,77.11
Mumbai,India,94.57,66.68
Mumbai,India,94.66,57.66
Mumbai,India,55.51,42.03
Mumbai,India,69.8,47.31
Mumbai,India,92.78,44.42
Mumbai,India,120.12,51.91
Mumbai,India,76.19,32.83
Mumbai,India,141.24,77.92
Mumbai,India,60.07,77.51
Mumbai,India,158.86,73.75
Mumbai,India,63.86,58.77
Mumbai,India,72.45,25.22
Mumbai,India,68.17,43.64
Mumbai,India,92.06,60.77
Mumbai,India,74.28,32.62
Mumbai,India,99.19,61.09
Mumbai,India,80.58,54.28
Mumbai,India,135.62,53.79
Mumbai,India,126.08,55.46
Mumbai,India,155.08,40.89
Mumbai,India,153.1,63.25
Mumbai,India,108.89,32.27
Mumbai,India,62.83,63.21
Mumbai,India,121.23,61.88
Mumbai,India,142.96,59.05
Mumbai,India,133.93,65.38
Mumbai,India,64.77,49.98
Mumbai,India,144.52,53.94
Mumbai,India,206.16,63.6
Mumbai,India,182.48,42.1
Mumbai,India,140.2,47.24
Mumbai,India,61.7,31.94
Mumbai,India,108.34,59.42
Mumbai,India,103.04,48.82
Mumbai,India,121.77,44.56
Mumbai,India,118.39,34.74
Mumbai,India,133.24,34.98
Mumbai,India,172.82,50.4
Mumbai,India,112.76,69.66
Mumbai,India,183.47,88.12
Mumbai,India,154.07,58.03
Mumbai,India,111.9,67.78
Mumbai,India,95.05,76.48
Mumbai,India,100.16,55.53
Mumbai,India,58.68,54.59
Mumbai,India,55.92,46.51
Mumbai,India,162.49,42.03
Mumbai,India,99.1,53.49
Mumbai,India,143.64,73.06
Mumbai,India,60.73,83.73
Mumbai,India,73.82,32.74
Mumbai,India,165.0,34.04
Mumbai,India,133.32,65.82
Mumbai,India,112.13,32.77
Mumbai,India,107.12,42.49
Mumbai,India,54.92,55.69
Mumbai,India,91.12,27.42
Mumbai,India,185.47,51.29
Mumbai,India,84.02,67.77
Mumbai,India,114.31,70.62
Mumbai,India,85.95,76.0
Mumbai,India,131.2,51.47
Mumbai,India,110.55,29.67
Mumbai,India,108.19,40.83
Mumbai,India,75.22,29.13
Mumbai,India,123.08,42.22
Mumbai,India,138.2,61.58
Mumbai,India,178.8,37.02
Mumbai,India,101.91,30.64
Mumbai,India,196.43,69.57
Mumbai,India,80.02,60.05
Mumbai,India,56.8,79.36
Mumbai,India,118.36,79.48
Mumbai,India,61.99,66.48
Mumbai,India,86.6,51.92
Mumbai,India,106.42,30.41
Mumbai,India,59.02,50.5
Mumbai,India,77.7,34.97
Mumbai,India,123.68,63.27
Mumbai,India,156.76,63.95
Mumbai,India,114.45,55.82
Mumbai,India,98.57,71.21
Mumbai,India,145.6,87.41
Mumbai,India,114.37,35.8
Mumbai,India,62.61,62.93
Mumbai,India,83.18,62.57
Mumbai,India,92.91,23.37
Mumbai,India,94.98,36.15
Mumbai,India,88.28,43.62
Mumbai,India,136.72,38.71
Mumbai,India,130.49,40.23
Mumbai,India,183.87,33.04
Mumbai,India,122.19,42.45
Mumbai,India,83.93,48.61
Mumbai,India,99.91,78.01
Mumbai,India,96.44,67.9
Mumbai,India,94.28,51.33
Mumbai,India,75.01,25.73
Mumbai,India,90.16,58.89
Mumbai,India,113.28,30.88
Mumbai,India,146.96,56.0
Mumbai,India,181.51,30.81
Mumbai,India,160.38,56.46
Mumbai,India,134.35,55.01
Mumbai,India,159.42,56.28
Mumbai,India,105.0,49.27
Mumbai,India,89.08,68.16
Mumbai,India,59.53,45.32
Mumbai,India,54.93,53.69
Mumbai,India,108.81,39.76
Mumbai,India,130.47,24.58
Mumbai,India,104.57,68.22
Mumbai,India,70.2,72.34
Mumbai,India,130.15,61.02
Mumbai,India,137.14,85.54
Mumbai,India,70.53,83.12
Mumbai,India,101.17,58.29
Mumbai,India,66.2,41.58
Mumbai,India,91.17,56.93
Mumbai,India,87.15,32.12
Mumbai,India,117.51,40.7
Delhi,India,65.29,31.53
Delhi,India,196.32,72.84
Delhi,India,236.84,80.39
Delhi,India,107.79,82.39
Delhi,India,113.48,54.74
Delhi,India,113.02,51.25
Delhi,India,181.09,74.53
Delhi,India,67.47,47.68
Delhi,India,88.45,68.01
Delhi,India,113.89,73.9
Delhi,India,59.92,51.71
Delhi,India,79.33,36.32
Delhi,India,66.74,30.28
Delhi,India,162.92,63.43
Delhi,India,84.67,49.6
Delhi,India,229.59,79.65
Delhi,India,127.6,97.85
Delhi,India,195.88,57.93
Delhi,India,167.74,81.37
Delhi,India,113.06,69.56
Delhi,India,67.05,52.69
Delhi,India,67.49,56.13
Delhi,India,148.16,46.98
Delhi,India,150.07,60.27
Delhi,India,119.7,42.41
Delhi,India,209.03,71.4
Delhi,India,144.2,58.34
Delhi,India,197.57,61.01
Delhi,India,170.14,46.78
Delhi,India,187.65,69.76
Delhi,India,184.94,58.09
Delhi,India,162.54,83.16
Delhi,India,58.79,42.24
Delhi,India,60.0,66.46
Delhi,India,118.18,39.42
Delhi,India,168.16,37.86
Delhi,India,95.42,33.56
Delhi,India,123.16,62.94
Delhi,India,166.29,36.71
Delhi,India,76.01,72.6
Delhi,India,100.64,89.37
Delhi,India,198.3,60.47
Delhi,India,187.73,60.04
Delhi,India,121.88,74.65
Delhi,India,56.84,57.3
Delhi,India,53.25,39.52
Delhi,India,178.5,58.4
Delhi,India,143.59,45.1
Delhi,India,140.8,36.56
Delhi,India,149.88,61.75
Delhi,India,174.94,73.57
Delhi,India,221.0,48.14
Delhi,India,50.23,93.15
Delhi,India,139.63,58.61
Delhi,India,81.91,38.69
Delhi,India,90.56,59.04
Delhi,India,70.45,58.58
Delhi,India,189.26,44.69
Delhi,India,120.69,43.26
Delhi,India,127.75,56.66
Delhi,India,204.9,89.38
Delhi,India,152.8,87.16
Delhi,India,68.26,47.96
Delhi,India,119.06,89.91
Delhi,India,91.9,88.92
Delhi,India,111.35,48.56
Delhi,India,98.72,31.73
Delhi,India,65.89,53.52
Delhi,India,133.34,39.51
Delhi,India,74.58,41.92
Delhi,India,249.48,67.75
Delhi,India,191.37,40.55
Delhi,India,82.14,81.55
Delhi,India,125.8,81.2
Delhi,India,88.06,61.01
Delhi,India,165.71,82.87
Delhi,India,59.52,75.96
Delhi,India,57.41,48.23
Delhi,India,51.92,34.18
Delhi,India,78.17,51.03
Delhi,India,115.98,33.78
Delhi,India,200.4,71.82
Delhi,India,84.97,37.91
Delhi,India,205.8,59.38
Delhi,India,198.98,96.54
Delhi,India,91.25,46.4
Delhi,India,169.96,75.25
Delhi,India,77.84,55.22
Delhi,India,66.08,38.89
Delhi,India,66.83,52.19
Delhi,India,126.92,52.65
Delhi,India,106.35,66.07
Delhi,India,137.46,68.04
Delhi,India,121.45,33.79
Delhi,India,200.86,74.21
Delhi,India,152.71,48.58
Delhi,India,93.51,94.79
Delhi,India,108.55,93.73
Delhi,India,53.99,70.58
Delhi,India,169.35,71.36
Delhi,India,100.32,39.13
Delhi,India,133.12,71.37
Delhi,India,73.71,30.61
Delhi,India,111.51,46.71
Delhi,India,75.8,29.58
Delhi,India,96.82,33.27
Delhi,India,123.35,44.38
Delhi,India,105.73,76.94
Delhi,India,161.02,96.63
Delhi,India,144.97,94.03
Delhi,India,92.28,64.92
Delhi,India,157.36,41.09
Delhi,India,73.7,47.02
Delhi,India,58.71,40.64
Delhi,India,141.86,35.18
Delhi,India,74.5,65.86
Delhi,India,169.99,33.57
Delhi,India,129.08,43.72
Delhi,India,220.34,74.6
Delhi,India,248.22,52.07
Delhi,India,66.35,93.49
Delhi,India,207.98,62.32
Delhi,India,56.38,60.78
Delhi,India,78.9,44.03
Delhi,India,128.3,51.59
Delhi,India,103.37,35.13
Delhi,India,113.17,37.84
Delhi,India,137.33,67.55
Delhi,India,86.0,51.68
Delhi,India,101.63,83.82
Delhi,India,177.0,75.57
Delhi,India,186.44,97.11
Delhi,India,114.62,91.08
Delhi,India,146.22,77.33
Delhi,India,148.91,96.7
Delhi,India,156.14,67.24
Delhi,India,138.57,58.3
Delhi,India,62.97,39.42
Delhi,India,170.32,70.7
Delhi,India,142.74,47.24
Delhi,India,124.81,72.01
Delhi,India,197.2,60.58
Delhi,India,195.54,99.81
Delhi,India,189.7,92.11
Delhi,India,236.68,46.83
Delhi,India,133.89,47.4
Delhi,India,78.46,71.46
Delhi,India,105.23,59.83
Delhi,India,77.77,54.42
Delhi,India,66.58,57.02
Delhi,India,158.98,75.05
Delhi,India,136.51,63.84
Delhi,India,147.76,75.1
Delhi,India,216.53,79.95
Delhi,India,260.75,70.55
Delhi,India,250.54,72.52
Delhi,India,168.15,71.79
Delhi,India,152.26,70.75
Delhi,India,173.28,44.74
Delhi,India,85.14,74.07
Delhi,India,56.33,63.06
Delhi,India,133.96,56.04
Delhi,India,153.83,68.18
Delhi,India,113.82,77.44
Delhi,India,68.14,52.79
Delhi,India,94.88,54.18
Delhi,India,219.98,47.0
Delhi,India,88.92,49.42
Delhi,India,172.39,110.27
Delhi,India,200.25,56.73
Delhi,India,57.67,89.77
Delhi,India,109.1,52.32
Delhi,India,153.48,72.37
Delhi,India,110.97,71.7
Delhi,India,180.1,43.34
Delhi,India,169.18,49.79
Delhi,India,249.62,59.2
Delhi,India,167.69,85.56
Delhi,India,81.25,75.29
Delhi,India,231.54,66.47
Delhi,India,215.19,49.36
Delhi,India,120.88,60.11
Delhi,India,187.08,92.46
Delhi,India,155.44,57.36
Delhi,India,65.65,75.88
Delhi,India,69.68,49.06
Delhi,India,121.04,70.03
Delhi,India,204.91,51.9
Delhi,India,239.77,79.57
Delhi,India,112.05,64.73
Delhi,India,208.97,99.5
Delhi,India,163.22,57.58
Delhi,India,246.28,77.79
Delhi,India,184.57,90.15
Delhi,India,171.21,101.39
Delhi,India,109.8,54.86
Delhi,India,89.28,49.61
Delhi,India,71.57,40.83
Delhi,India,131.13,57.58
Delhi,India,124.28,69.64
Delhi,India,250.22,56.31
Delhi,India,79.61,74.3
Delhi,India,273.16,102.5
Delhi,India,188.55,74.12
Delhi,India,92.96,102.52
Delhi,India,128.96,63.15
Delhi,India,142.39,61.13
Delhi,India,122.44,73.88
Delhi,India,161.82,56.16
Delhi,India,54.53,58.49
Delhi,India,182.79,66.61
Delhi,India,247.43,83.61
Delhi,India,262.99,54.22
Delhi,India,143.5,100.53
Delhi,India,172.13,72.52
Delhi,India,185.06,54.65
Delhi,India,216.01,96.73
Delhi,India,96.84,61.78
Delhi,India,142.28,38.65
Delhi,India,59.05,33.44
Delhi,India,85.74,62.01
Delhi,India,72.56,73.81
Delhi,India,201.51,59.13
Delhi,India,131.51,49.25
Delhi,India,165.02,65.59
Delhi,India,211.66,47.87
Delhi,India,140.61,52.31
Delhi,India,63.17,108.86
Delhi,India,58.69,43.34
Delhi,India,93.84,81.33
Delhi,India,107.13,43.67
Delhi,India,156.59,57.9
Delhi,India,93.57,47.33
Delhi,India,206.57,59.99
Delhi,India,95.12,44.81
Delhi,India,105.22,72.89
Delhi,India,239.53,90.58
Delhi,India,106.1,86.27
Delhi,India,180.07,48.21
Delhi,India,107.08,57.38
Delhi,India,164.03,57.57
Delhi,India,69.06,87.82
Delhi,India,113.45,54.81
Delhi,India,87.2,46.93
Delhi,India,128.7,43.4
Delhi,India,114.76,50.25
Delhi,India,234.63,36.11
Delhi,India,108.56,65.53
Delhi,India,225.81,56.5
Delhi,India,250.72,102.99
Delhi,India,208.07,105.03
Delhi,India,86.8,45.17
Delhi,India,176.61,53.17
Delhi,India,130.68,88.7
Delhi,India,149.2,51.24
Delhi,India,106.06,48.82
Delhi,India,148.02,63.29
Delhi,India,110.71,54.98
Delhi,India,65.57,61.81
Delhi,India,84.99,79.18
Delhi,India,274.18,72.72
Delhi,India,80.46,81.92
Delhi,India,220.86,69.28
Delhi,India,194.35,68.59
Delhi,India,100.38,81.05
Delhi,India,92.45,41.17
Delhi,India,124.48,54.51
Delhi,India,50.93,40.57
Delhi,India,113.06,53.5
Delhi,India,66.23,58.36
Delhi,India,159.15,76.88
Delhi,India,76.78,74.51
Delhi,India,74.32,56.83
Delhi,India,195.0,55.59
Delhi,India,152.83,75.54
Delhi,India,61.71,105.17
Delhi,India,156.34,67.52
Delhi,India,146.22,86.66
Delhi,India,60.73,58.46
Delhi,India,79.06,60.7
Delhi,India,153.97,54.9
Delhi,India,211.44,58.76
Delhi,India,126.84,66.83
Delhi,India,118.49,76.68
